Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
2020/10/15,14:59:19,4.032500,0,0.000000,0.000000,183,53,10,0,0,0,0,0,0,0,0,0,24.180000,32.944336,102873.031250,-128.094116
2020/10/15,14:59:29,4.032500,0,0.000000,0.000000,135,37,3,0,0,0,0,0,0,0,0,0,24.209999,32.790039,102876.812500,-128.405045
2020/10/15,14:59:39,4.032500,0,0.000000,0.000000,129,39,6,0,0,0,0,0,0,0,0,0,24.240000,32.719727,102874.585938,-128.222275
2020/10/15,14:59:49,4.032500,0,0.000000,0.000000,126,38,3,0,0,0,0,0,0,0,0,0,24.260000,32.770508,102874.687500,-128.230209
2020/10/16,8:52:14,4.030000,0,0.000000,0.000000,216,61,3,0,0,0,0,0,0,0,0,0,20.059999,45.559570,102081.539062,-62.797298
2020/10/16,8:52:24,4.030000,0,0.000000,0.000000,117,35,3,0,0,0,0,0,0,0,0,0,20.090000,45.503906,102083.500000,-62.960236
2020/10/16,8:52:39,4.030000,0,0.000000,0.000000,180,56,3,0,0,0,0,0,0,0,0,0,20.129999,45.377930,102089.835938,-63.484009
2020/10/16,8:52:49,4.030000,0,0.000000,0.000000,147,45,0,0,0,0,0,0,0,0,0,0,20.180000,45.311523,102094.359375,-63.858833
2020/10/16,8:52:59,4.030000,0,0.000000,0.000000,93,24,0,0,0,0,0,0,0,0,0,0,20.200001,45.231445,102101.437500,-64.559464
2020/10/16,8:53:9,4.027500,0,0.000000,0.000000,159,50,0,0,0,0,0,0,0,0,0,0,20.230000,45.221680,102104.781250,-64.720375
2020/10/16,8:53:19,4.027500,0,0.000000,0.000000,102,34,0,0,0,0,0,0,0,0,0,0,20.250000,45.128906,102109.164062,-65.083160
2020/10/16,8:53:29,4.025000,0,0.000000,0.000000,36,12,0,0,0,0,0,0,0,0,0,0,20.280001,45.120117,102104.187500,-64.671402
2020/10/16,8:53:39,4.025000,0,0.000000,0.000000,114,38,0,0,0,0,0,0,0,0,0,0,20.290001,45.074219,102112.734375,-65.378975
2020/10/16,8:53:49,4.026250,0,0.000000,0.000000,114,38,0,0,0,0,0,0,0,0,0,0,20.320000,45.005859,102113.296875,-65.425941
2020/10/16,8:53:59,4.027500,0,0.000000,0.000000,156,48,0,0,0,0,0,0,0,0,0,0,20.350000,44.937500,102116.218750,-65.666786
2020/10/16,8:54:9,4.027500,0,0.000000,0.000000,192,52,0,0,0,0,0,0,0,0,0,0,20.370001,44.927734,102121.882812,-66.135468
2020/10/16,8:54:19,4.027500,0,0.000000,0.000000,129,43,0,0,0,0,0,0,0,0,0,0,20.389999,44.894531,102122.132812,-66.156448
2020/10/16,8:54:29,4.030000,0,0.000000,0.000000,141,39,11,0,0,0,0,1,1,0,1,1,20.420000,44.861328,102119.078125,-65.903625
2020/10/16,8:54:39,4.030000,0,0.000000,0.000000,141,39,11,0,0,0,0,0,0,0,0,0,20.440001,44.792969,102116.406250,-65.682777
2020/10/16,8:54:49,4.030000,0,0.000000,0.000000,90,30,0,0,0,0,0,0,0,0,0,0,20.459999,44.710938,102112.500000,-65.358986
2020/10/16,8:54:59,4.028750,0,0.000000,0.000000,126,42,0,0,0,0,0,0,0,0,0,0,20.490000,44.630859,102111.679688,-65.292030
2020/10/16,8:55:9,4.027500,0,0.000000,0.000000,117,39,3,0,0,0,0,0,0,0,0,0,20.510000,44.550781,102108.625000,-65.039185
2020/10/16,8:55:19,4.027500,0,0.000000,0.000000,51,13,0,0,0,0,0,0,0,0,0,0,20.540001,44.552734,102103.218750,-64.591446
2020/10/16,8:55:29,4.026250,0,0.000000,0.000000,156,44,0,0,0,0,0,0,0,0,0,0,20.559999,44.579102,102105.171875,-64.753357
2020/10/16,8:55:39,4.025000,0,0.000000,0.000000,168,44,0,0,0,0,0,0,0,0,0,0,20.580000,44.498047,102102.609375,-64.541473
2020/10/16,8:55:49,4.025000,0,0.000000,0.000000,225,63,3,0,0,0,0,0,0,0,0,0,20.600000,44.439453,102094.531250,-63.872826
2020/10/16,8:55:59,4.025000,0,0.000000,0.000000,156,49,3,0,0,0,0,0,0,0,0,0,20.620001,44.394531,102088.664062,-63.387054
2020/10/16,8:56:9,4.025000,0,0.000000,0.000000,156,49,0,0,0,0,0,0,0,0,0,0,20.639999,44.432617,102082.398438,-62.868271
2020/10/16,8:56:19,4.027500,0,0.000000,0.000000,81,27,0,0,0,0,0,0,0,0,0,0,20.670000,44.411133,102075.171875,-62.270493
2020/10/16,8:56:29,4.027500,0,0.000000,0.000000,72,20,3,0,0,0,0,0,0,0,0,0,20.690001,44.258789,102075.812500,-62.323475
2020/10/16,8:56:39,4.027500,0,0.000000,0.000000,156,42,3,0,0,0,0,0,0,0,0,0,20.709999,44.213867,102069.546875,-61.805637
2020/10/16,8:56:49,4.028750,0,0.000000,0.000000,159,47,3,0,0,0,0,0,0,0,0,0,20.719999,44.084961,102066.984375,-61.592697
