Date,Time,Battery,Fix,Latitude,Longitude,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0,PM1_Std,PM2.5_Std,PM10_Std,PM1_Env,PM2.5_Env,PM10_Env,Temp(C),RH(%),P(hPa),Alti(m)
0/0/0,0:0:0,4.013750,0,0.000000,0.000000,135,45,3,0,0,0,0,0,0,0,0,0,23.969999,33.865234,102932.578125,-132.990326
0/0/0,0:0:0,4.013750,0,0.000000,0.000000,111,34,0,0,0,0,0,0,0,0,0,0,23.990000,33.914062,102928.515625,-132.656708
0/0/0,0:0:0,4.013750,0,0.000000,0.000000,153,47,7,0,0,0,0,0,0,0,0,0,24.020000,33.653320,102933.671875,-133.079697
0/0/0,0:0:0,4.011250,0,0.000000,0.000000,198,58,0,0,0,0,0,0,0,0,0,0,24.049999,33.678711,102927.828125,-132.600113
0/0/0,0:0:0,4.010000,0,0.000000,0.000000,204,60,0,0,0,0,0,0,0,0,0,0,24.080000,33.741211,102927.843750,-132.829483
0/0/0,0:0:0,4.012500,0,0.000000,0.000000,195,65,0,0,0,0,0,0,0,0,0,0,24.120001,33.192383,102930.109375,-132.787781
0/0/0,0:0:0,4.013750,0,0.000000,0.000000,192,64,0,0,0,0,0,0,0,0,0,0,24.139999,34.141602,102937.226562,-133.372604
0/0/0,0:0:0,4.013750,0,0.000000,0.000000,231,73,0,0,0,0,0,0,0,0,0,0,24.170000,33.099609,102929.953125,-132.774872
0/0/0,0:0:0,4.010000,0,0.000000,0.000000,357,115,13,0,0,0,1,2,2,1,2,2,24.200001,37.684570,102933.718750,-133.083664
0/0/0,0:0:0,4.008750,0,0.000000,0.000000,264,88,10,0,0,0,0,0,0,0,0,0,24.219999,36.452148,102932.437500,-132.978424
0/0/0,0:0:0,4.007500,0,0.000000,0.000000,285,95,6,0,0,0,0,0,0,0,0,0,24.250000,36.142578,102933.015625,-133.027069
0/0/0,0:0:0,4.006250,0,0.000000,0.000000,309,95,6,0,0,0,0,0,0,0,0,0,24.280001,33.816406,102930.250000,-132.798706
0/0/0,0:0:0,4.007500,0,0.000000,0.000000,357,115,3,0,0,0,0,0,0,0,0,0,24.320000,33.218750,102934.906250,-133.181961
0/0/0,0:0:0,4.008750,0,0.000000,0.000000,228,76,0,0,0,0,0,0,0,0,0,0,24.360001,33.065430,102938.593750,-133.484787
0/0/0,0:0:0,4.011250,0,0.000000,0.000000,204,60,3,0,0,0,1,1,1,1,1,1,24.379999,32.971680,102932.171875,-132.957565
0/0/0,0:0:0,4.012500,0,0.000000,0.000000,147,45,9,0,0,0,0,0,0,0,0,0,24.410000,34.258789,102930.890625,-132.852310
2020/10/15,14:44:52,4.025000,0,0.000000,0.000000,192,56,9,0,0,0,0,0,0,0,0,0,24.910000,32.768555,102922.843750,-132.190018
2020/10/15,14:45:2,4.021250,0,0.000000,0.000000,180,57,3,0,0,0,0,0,0,0,0,0,24.969999,40.691406,102922.000000,-132.120499
2020/10/15,14:45:12,4.018750,0,0.000000,0.000000,252,77,3,0,0,0,0,0,0,0,0,0,25.040001,49.280273,102921.000000,-132.038086
2020/10/15,14:45:22,4.018750,0,0.000000,0.000000,276,76,3,3,3,0,0,0,2,0,0,2,25.100000,42.850586,102925.320312,-132.393570
2020/10/15,14:45:32,4.021250,0,0.000000,0.000000,147,41,3,0,0,0,0,0,0,0,0,0,25.150000,40.178711,102920.921875,-132.032120
2020/10/15,14:45:42,4.021250,0,0.000000,0.000000,195,57,6,0,0,0,0,0,0,0,0,0,25.200001,35.340820,102920.312500,-131.982483
2020/10/16,8:51:34,4.012500,0,0.000000,0.000000,129,32,6,0,0,0,0,0,0,0,0,0,20.570000,44.082031,102102.859375,-64.561462
2020/10/16,8:51:44,4.011250,0,0.000000,0.000000,159,42,0,0,0,0,0,0,0,0,0,0,20.600000,43.977539,102102.984375,-64.572456
2020/10/16,8:51:54,4.011250,0,0.000000,0.000000,150,47,0,0,0,0,0,0,0,0,0,0,20.629999,43.956055,102104.921875,-64.732368
2020/10/16,8:52:4,4.008750,0,0.000000,0.000000,111,27,0,0,0,0,0,0,0,0,0,0,20.650000,43.875977,102107.382812,-64.936249
2020/10/16,8:52:14,4.006250,0,0.000000,0.000000,90,22,3,0,0,0,0,0,0,0,0,0,20.670000,43.807617,102118.187500,-65.829674
2020/10/16,8:52:24,4.006250,0,0.000000,0.000000,168,56,6,0,0,0,0,0,0,0,0,0,20.690001,43.843750,102121.187500,-66.077507
